Container is store 10000 languages:
[Procedural]: name = AZMEZYPTRM  year = 1945  popularity = 83.23 abstract variables = True, quotient = 194.5
[Functional]: name = ITEJOZSRDM  year = 1945  popularity = 8.17 lazy calculation = False legacy = STRICT, quotient = 194.5
[Functional]: name = TNKMAHENZN  year = 1945  popularity = 97.38 lazy calculation = True legacy = ERROR, quotient = 194.5
[Procedural]: name = WLEMGYQYJA  year = 1945  popularity = 88.91 abstract variables = False, quotient = 194.5
[ObjectOriented]: name = FTTZSIYYVL  year = 1945  popularity = 78.94 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = RCAJOPRVBF  year = 1945  popularity = 46.93 abstract variables = False, quotient = 194.5
[Procedural]: name = KPBXSCFYQK  year = 1945  popularity = 59.19 abstract variables = False, quotient = 194.5
[Procedural]: name = SNSVEYCVJD  year = 1945  popularity = 58.97 abstract variables = False, quotient = 194.5
[Procedural]: name = ASSISVKSLJ  year = 1945  popularity = 13.88 abstract variables = False, quotient = 194.5
[Procedural]: name = SYRDIRRLWO  year = 1945  popularity = 44.19 abstract variables = False, quotient = 194.5
[Procedural]: name = VCTTQTXGLX  year = 1945  popularity = 71.73 abstract variables = True, quotient = 194.5
[ObjectOriented]: name = LZDDVDXKIV  year = 1945  popularity = 37.19 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[Functional]: name = QVJUPZBKXB  year = 1945  popularity = 3.56 lazy calculation = True legacy = ERROR, quotient = 194.5
[ObjectOriented]: name = XRTUGKVDPK  year = 1945  popularity = 35.64 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Functional]: name = TCQLHESRTI  year = 1945  popularity = 28.13 lazy calculation = True legacy = STRICT, quotient = 194.5
[Procedural]: name = EESUKHWVSF  year = 1945  popularity = 53.18 abstract variables = True, quotient = 194.5
[Procedural]: name = RJVXLDCAQZ  year = 1945  popularity = 23.31 abstract variables = True, quotient = 194.5
[ObjectOriented]: name = DFFQXSPEXW  year = 1945  popularity = 96.46 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = RRKIIXEQIV  year = 1945  popularity = 26.33 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = ANFPLXHWHZ  year = 1945  popularity = 45.16 abstract variables = False, quotient = 194.5
[Functional]: name = UFRVQDTXAC  year = 1945  popularity = 52.9 lazy calculation = False legacy = STRICT, quotient = 194.5
[Functional]: name = DSXONKZASU  year = 1945  popularity = 28.36 lazy calculation = True legacy = ERROR, quotient = 194.5
[Procedural]: name = BFCEQULSIJ  year = 1945  popularity = 88.71 abstract variables = False, quotient = 194.5
[Functional]: name = JFERFOEVNJ  year = 1945  popularity = 38.41 lazy calculation = True legacy = STRICT, quotient = 194.5
[Functional]: name = OCSXAGIUVJ  year = 1945  popularity = 83.65 lazy calculation = False legacy = STRICT, quotient = 194.5
[ObjectOriented]: name = KUIKOKCOXQ  year = 1945  popularity = 92.3 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[Functional]: name = WVOLJGBPAY  year = 1945  popularity = 59.14 lazy calculation = True legacy = ERROR, quotient = 194.5
[ObjectOriented]: name = GHHJFMRBZL  year = 1945  popularity = 95.93 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[Procedural]: name = JSSWGPZRPZ  year = 1945  popularity = 86.81 abstract variables = True, quotient = 194.5
[ObjectOriented]: name = DWMGKUYNDW  year = 1945  popularity = 31.44 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = OBAZGKLEXA  year = 1945  popularity = 30.57 abstract variables = False, quotient = 194.5
[ObjectOriented]: name = BKPCXNHSFF  year = 1945  popularity = 86.6 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[Procedural]: name = CLFKZAEIVF  year = 1945  popularity = 5.17 abstract variables = False, quotient = 194.5
[Functional]: name = CCTUFLFSOL  year = 1945  popularity = 53.18 lazy calculation = True legacy = ERROR, quotient = 194.5
[Functional]: name = PLNWMEJFFV  year = 1945  popularity = 30.55 lazy calculation = True legacy = STRICT, quotient = 194.5
[Functional]: name = AMELKGNRJO  year = 1945  popularity = 51.12 lazy calculation = False legacy = DYNAMIC, quotient = 194.5
[Functional]: name = EQHPFUTFQO  year = 1945  popularity = 1.52 lazy calculation = True legacy = DYNAMIC, quotient = 194.5
[Functional]: name = AICGPGYHEB  year = 1945  popularity = 67.13 lazy calculation = False legacy = STRICT, quotient = 194.5
[Procedural]: name = JNWHZOHSAG  year = 1945  popularity = 5.91 abstract variables = False, quotient = 194.5
[ObjectOriented]: name = DVTCDLLCWX  year = 1945  popularity = 68.11 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = WHWHNNBXRL  year = 1945  popularity = 15.71 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[Functional]: name = AVDWCDSLPG  year = 1945  popularity = 34.44 lazy calculation = False legacy = STRICT, quotient = 194.5
[Procedural]: name = BDNXTEIJCV  year = 1945  popularity = 75.28 abstract variables = False, quotient = 194.5
[Functional]: name = UUDPLTUBHN  year = 1945  popularity = 18.75 lazy calculation = False legacy = DYNAMIC, quotient = 194.5
[ObjectOriented]: name = MAASMRHOZP  year = 1945  popularity = 19.24 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = TXIUUPXQBW  year = 1945  popularity = 86.69 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = YMRLNQAKLQ  year = 1945  popularity = 83.43 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[Functional]: name = OUXESORTWS  year = 1945  popularity = 5.51 lazy calculation = True legacy = STRICT, quotient = 194.5
[ObjectOriented]: name = XKJWAAEJYA  year = 1945  popularity = 98.13 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = KLYBYHPIHD  year = 1945  popularity = 74.47 abstract variables = False, quotient = 194.5
[Procedural]: name = EABDUYPLLP  year = 1945  popularity = 10.23 abstract variables = True, quotient = 194.5
[ObjectOriented]: name = DDKIORIQXO  year = 1945  popularity = 42.29 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = KQWUQJIGGP  year = 1945  popularity = 96.9 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[Functional]: name = IRZULEPWAN  year = 1945  popularity = 73.68 lazy calculation = True legacy = STRICT, quotient = 194.5
[Procedural]: name = GOYXVQGUEB  year = 1945  popularity = 26.23 abstract variables = False, quotient = 194.5
[Functional]: name = FSCHCKZVSP  year = 1945  popularity = 51.29 lazy calculation = False legacy = STRICT, quotient = 194.5
[Functional]: name = PVBIORAPWP  year = 1945  popularity = 9.53 lazy calculation = True legacy = DYNAMIC, quotient = 194.5
[ObjectOriented]: name = CPVZOKOOQV  year = 1945  popularity = 11.82 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = RROCIVTAOC  year = 1945  popularity = 65.67 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = QAZZKEYHCE  year = 1945  popularity = 84.63 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = YWHWQXITDV  year = 1945  popularity = 29.22 abstract variables = False, quotient = 194.5
[ObjectOriented]: name = KPUAPLUDYH  year = 1945  popularity = 30.95 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.5
[Functional]: name = VWXHAINMSY  year = 1945  popularity = 20.19 lazy calculation = False legacy = DYNAMIC, quotient = 194.5
[Procedural]: name = ZVXAFQHVIN  year = 1945  popularity = 60.75 abstract variables = True, quotient = 194.5
[Procedural]: name = CHARTFIGMR  year = 1945  popularity = 24.36 abstract variables = True, quotient = 194.5
[Functional]: name = NDJINMQECG  year = 1945  popularity = 28.27 lazy calculation = True legacy = DYNAMIC, quotient = 194.5
[Procedural]: name = NHYQJGLEFC  year = 1945  popularity = 21.76 abstract variables = True, quotient = 194.5
[ObjectOriented]: name = KUYUJZTJBD  year = 1945  popularity = 55.11 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = NXMGBMTBER  year = 1945  popularity = 6.29 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[Functional]: name = SLKTUURNHK  year = 1945  popularity = 2.54 lazy calculation = False legacy = STRICT, quotient = 194.5
[Procedural]: name = NFXOZGJYYT  year = 1945  popularity = 63.06 abstract variables = True, quotient = 194.5
[Procedural]: name = KEIGMSQCEX  year = 1945  popularity = 17.21 abstract variables = True, quotient = 194.5
[ObjectOriented]: name = VTOFYRASEB  year = 1945  popularity = 98.24 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = UXQCEJABZN  year = 1945  popularity = 67.58 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = NTTDSHVYSZ  year = 1945  popularity = 68.42 abstract variables = False, quotient = 194.5
[ObjectOriented]: name = LJGAYULJUR  year = 1945  popularity = 72.43 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = WAPGMTWZIX  year = 1945  popularity = 32.69 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = FHTJGPMSBS  year = 1945  popularity = 34.26 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Functional]: name = WIGXUJXRVX  year = 1945  popularity = 43.05 lazy calculation = True legacy = ERROR, quotient = 194.5
[ObjectOriented]: name = FDYZAGTKBG  year = 1945  popularity = 82.07 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Functional]: name = TOGSDZJJNM  year = 1945  popularity = 51.09 lazy calculation = False legacy = DYNAMIC, quotient = 194.5
[Functional]: name = TKGZAOTWKO  year = 1945  popularity = 70.48 lazy calculation = False legacy = DYNAMIC, quotient = 194.5
[Procedural]: name = NVMMZFSQVB  year = 1945  popularity = 7.03 abstract variables = False, quotient = 194.5
[ObjectOriented]: name = XPDQBRUZHK  year = 1945  popularity = 69.73 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = KDJUGVMOSI  year = 1945  popularity = 15.99 abstract variables = True, quotient = 194.5
[Functional]: name = GTNDCWQOCT  year = 1945  popularity = 30.76 lazy calculation = False legacy = ERROR, quotient = 194.5
[ObjectOriented]: name = QVHZXMCJXG  year = 1945  popularity = 50.41 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = SCVCWTDQCM  year = 1945  popularity = 59.74 abstract variables = True, quotient = 194.5
[Procedural]: name = LSHYQCXRKO  year = 1945  popularity = 39.03 abstract variables = True, quotient = 194.5
[Functional]: name = PNOPBONHCF  year = 1945  popularity = 11.34 lazy calculation = True legacy = DYNAMIC, quotient = 194.5
[Procedural]: name = KVYDQWLTGQ  year = 1945  popularity = 83.53 abstract variables = False, quotient = 194.5
[Procedural]: name = TJGUXCPEPU  year = 1945  popularity = 71.65 abstract variables = False, quotient = 194.5
[Functional]: name = ZOOAHGHOIU  year = 1945  popularity = 66.5 lazy calculation = True legacy = DYNAMIC, quotient = 194.5
[Functional]: name = ILRQCJFHHB  year = 1945  popularity = 25.34 lazy calculation = False legacy = STRICT, quotient = 194.5
[Functional]: name = PMADDHBDKT  year = 1945  popularity = 9.29 lazy calculation = True legacy = DYNAMIC, quotient = 194.5
[Functional]: name = EZPHTHGPCQ  year = 1945  popularity = 9.89 lazy calculation = True legacy = STRICT, quotient = 194.5
[Procedural]: name = MXDEGVCJSB  year = 1945  popularity = 69.83 abstract variables = True, quotient = 194.5
[Procedural]: name = ZEQQSWZKYZ  year = 1945  popularity = 57.15 abstract variables = True, quotient = 194.5
[Procedural]: name = QMDYTUTBPK  year = 1945  popularity = 5.99 abstract variables = True, quotient = 194.5
[Procedural]: name = YZGGHOXWNK  year = 1945  popularity = 77.08 abstract variables = False, quotient = 194.5
[ObjectOriented]: name = ZEJVSHLJVR  year = 1945  popularity = 71.33 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = CCCHNHIUGE  year = 1945  popularity = 20.63 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = FUWXXNLCLL  year = 1945  popularity = 93.48 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = QEVMCBOLKG  year = 1945  popularity = 1.48 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = KKKWJOJQVO  year = 1945  popularity = 42.24 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[Procedural]: name = LDBUTDVAIT  year = 1945  popularity = 68.21 abstract variables = False, quotient = 194.5
[Procedural]: name = CRZEUGHKZE  year = 1945  popularity = 51.89 abstract variables = False, quotient = 194.5
[Procedural]: name = TNYCPWVBRS  year = 1945  popularity = 81.65 abstract variables = True, quotient = 194.5
[Procedural]: name = KBDYQDRXOQ  year = 1945  popularity = 67.27 abstract variables = True, quotient = 194.5
[Procedural]: name = YZHOJGALKP  year = 1946  popularity = 73.75 abstract variables = True, quotient = 194.6
[Procedural]: name = JSFSRCDCVJ  year = 1946  popularity = 33.62 abstract variables = False, quotient = 194.6
[Functional]: name = DEREFQZZRI  year = 1946  popularity = 1.36 lazy calculation = False legacy = STRICT, quotient = 194.6
[Functional]: name = TQXSZDBRQR  year = 1946  popularity = 90.66 lazy calculation = False legacy = DYNAMIC, quotient = 194.6
[Procedural]: name = PWQCUOEBGK  year = 1946  popularity = 15.38 abstract variables = False, quotient = 194.6
[ObjectOriented]: name = IEJFGTGFKB  year = 1946  popularity = 65.28 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[Procedural]: name = BYITTODUZV  year = 1946  popularity = 26.33 abstract variables = True, quotient = 194.6
[Functional]: name = GWKJZLYIJD  year = 1946  popularity = 54.5 lazy calculation = False legacy = STRICT, quotient = 194.6
[Procedural]: name = MXPJLDFMZH  year = 1946  popularity = 77.75 abstract variables = True, quotient = 194.6
[ObjectOriented]: name = YNBEYDBBNZ  year = 1946  popularity = 26.08 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[Procedural]: name = BLVICSBECE  year = 1946  popularity = 3.05 abstract variables = False, quotient = 194.6
[Procedural]: name = OXSWEBLPLX  year = 1946  popularity = 2.12 abstract variables = False, quotient = 194.6
[ObjectOriented]: name = XWEXADVUKD  year = 1946  popularity = 52.27 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[Procedural]: name = CYCDXLQKBF  year = 1946  popularity = 72.89 abstract variables = False, quotient = 194.6
[Procedural]: name = QPLFNSFOPZ  year = 1946  popularity = 77.03 abstract variables = False, quotient = 194.6
[ObjectOriented]: name = CEEWFUEIFV  year = 1946  popularity = 24.33 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[Procedural]: name = PBKLKFLOFJ  year = 1946  popularity = 91.16 abstract variables = False, quotient = 194.6
[ObjectOriented]: name = VZYTPMJTYN  year = 1946  popularity = 53.0 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = BWTXZOMUOD  year = 1946  popularity = 96.19 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.6
[ObjectOriented]: name = YFKAFWXHXQ  year = 1946  popularity = 88.11 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[ObjectOriented]: name = PFYKLFXBUT  year = 1946  popularity = 92.47 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[Procedural]: name = JHKZQAWKKI  year = 1946  popularity = 62.52 abstract variables = False, quotient = 194.6
[Functional]: name = TVQIKTZTJJ  year = 1946  popularity = 31.61 lazy calculation = False legacy = ERROR, quotient = 194.6
[ObjectOriented]: name = PYEYODDXPA  year = 1946  popularity = 97.61 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[ObjectOriented]: name = CXPGXJGCKV  year = 1946  popularity = 20.68 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.6
[ObjectOriented]: name = SJMJVXSKYI  year = 1946  popularity = 77.2 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[Functional]: name = IHVSIDSVPW  year = 1946  popularity = 72.85 lazy calculation = False legacy = STRICT, quotient = 194.6
[ObjectOriented]: name = DKXAUPMTMY  year = 1946  popularity = 65.15 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[Procedural]: name = REWJKTHYRZ  year = 1946  popularity = 70.33 abstract variables = True, quotient = 194.6
[Functional]: name = HPMPSJTZBE  year = 1946  popularity = 18.99 lazy calculation = False legacy = DYNAMIC, quotient = 194.6
[Procedural]: name = VZWDWGUOUL  year = 1946  popularity = 81.68 abstract variables = False, quotient = 194.6
[ObjectOriented]: name = BBBZPDIAWY  year = 1946  popularity = 57.85 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = VTJBJTGNGB  year = 1946  popularity = 76.09 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = UBNILZTDBP  year = 1946  popularity = 79.24 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = DCZNNBVBEZ  year = 1946  popularity = 54.05 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[Functional]: name = WDAKVQPKMX  year = 1946  popularity = 77.75 lazy calculation = False legacy = STRICT, quotient = 194.6
[Procedural]: name = LZUWOAPUKC  year = 1946  popularity = 71.19 abstract variables = True, quotient = 194.6
[Functional]: name = HVJBUMFWLM  year = 1946  popularity = 80.22 lazy calculation = True legacy = DYNAMIC, quotient = 194.6
[Functional]: name = EEXZLIELGX  year = 1946  popularity = 91.1 lazy calculation = True legacy = ERROR, quotient = 194.6
[ObjectOriented]: name = DRCSIXXQHN  year = 1946  popularity = 92.67 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = VISXBCZWNY  year = 1946  popularity = 91.51 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = ALKMTAZDWS  year = 1946  popularity = 57.57 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[Functional]: name = LTGWHKNEOA  year = 1946  popularity = 1.54 lazy calculation = True legacy = DYNAMIC, quotient = 194.6
[ObjectOriented]: name = CLOYSFGASY  year = 1946  popularity = 46.63 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[Functional]: name = BJEUQHHWBI  year = 1946  popularity = 5.7 lazy calculation = False legacy = DYNAMIC, quotient = 194.6
[ObjectOriented]: name = PPQGQOYTFD  year = 1946  popularity = 70.06 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[Procedural]: name = MHGTQLBMZS  year = 1946  popularity = 17.61 abstract variables = True, quotient = 194.6
[Procedural]: name = YCSEVTNBDB  year = 1946  popularity = 16.28 abstract variables = False, quotient = 194.6
[Functional]: name = DKPTXEFADI  year = 1946  popularity = 50.9 lazy calculation = True legacy = ERROR, quotient = 194.6
[Functional]: name = BVZZFUTMAC  year = 1946  popularity = 58.08 lazy calculation = True legacy = ERROR, quotient = 194.6
[Functional]: name = NSLUAAIVTU  year = 1946  popularity = 7.15 lazy calculation = True legacy = ERROR, quotient = 194.6
[Procedural]: name = NYTEZRXFLJ  year = 1946  popularity = 20.63 abstract variables = True, quotient = 194.6
[Functional]: name = IQDIVZSMLA  year = 1946  popularity = 29.97 lazy calculation = False legacy = DYNAMIC, quotient = 194.6
[ObjectOriented]: name = YCESIIGSZX  year = 1946  popularity = 43.39 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.6
[Functional]: name = MKJSIKJUIC  year = 1946  popularity = 19.66 lazy calculation = False legacy = STRICT, quotient = 194.6
[Functional]: name = XORFIWBTTA  year = 1946  popularity = 30.27 lazy calculation = False legacy = DYNAMIC, quotient = 194.6
[ObjectOriented]: name = TPIYZZQWDJ  year = 1946  popularity = 12.24 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.6
[Procedural]: name = KCKNMOQVED  year = 1946  popularity = 71.63 abstract variables = False, quotient = 194.6
[ObjectOriented]: name = EZFRJELNZB  year = 1946  popularity = 60.59 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.6
[Functional]: name = SBDETDUAZN  year = 1946  popularity = 19.15 lazy calculation = False legacy = STRICT, quotient = 194.6
[ObjectOriented]: name = VGITFXRNEO  year = 1946  popularity = 15.73 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[Procedural]: name = ELJJOYEOYZ  year = 1946  popularity = 61.63 abstract variables = True, quotient = 194.6
[Procedural]: name = VPUFAHNDEG  year = 1946  popularity = 23.0 abstract variables = True, quotient = 194.6
[Functional]: name = ZUPWTRZOJO  year = 1946  popularity = 11.87 lazy calculation = False legacy = DYNAMIC, quotient = 194.6
[Procedural]: name = YICTHYOZUI  year = 1946  popularity = 48.47 abstract variables = True, quotient = 194.6
[ObjectOriented]: name = OBGJQPTVHQ  year = 1946  popularity = 82.21 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = BKKQTYNVGF  year = 1946  popularity = 51.24 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.6
[Functional]: name = VGDCXWDQHZ  year = 1946  popularity = 90.94 lazy calculation = False legacy = STRICT, quotient = 194.6
[ObjectOriented]: name = MJSGZVQWAF  year = 1946  popularity = 30.6 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.6
[ObjectOriented]: name = GGSZGXAYRZ  year = 1946  popularity = 27.52 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.6
[Procedural]: name = QTLHYNCZEM  year = 1946  popularity = 87.05 abstract variables = True, quotient = 194.6
[Procedural]: name = GJKULWFEVM  year = 1946  popularity = 47.45 abstract variables = False, quotient = 194.6
[ObjectOriented]: name = NBOOVEHFDX  year = 1946  popularity = 59.28 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.6
[Procedural]: name = GMDPZSENIS  year = 1946  popularity = 97.44 abstract variables = False, quotient = 194.6
[Procedural]: name = USJTPSLFBI  year = 1946  popularity = 58.88 abstract variables = False, quotient = 194.6
[Functional]: name = GLDVMNSYZV  year = 1946  popularity = 16.37 lazy calculation = True legacy = ERROR, quotient = 194.6
[Procedural]: name = AVENNPYNZF  year = 1946  popularity = 98.93 abstract variables = False, quotient = 194.6
[ObjectOriented]: name = OYJVIZULQF  year = 1946  popularity = 94.73 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = NIBWTTVUAQ  year = 1946  popularity = 18.16 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.6
[Procedural]: name = GAWEORVEEO  year = 1946  popularity = 79.16 abstract variables = False, quotient = 194.6
[ObjectOriented]: name = ZSGTDDFWFB  year = 1946  popularity = 4.49 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[Functional]: name = MOMHMWDKCL  year = 1946  popularity = 90.32 lazy calculation = False legacy = DYNAMIC, quotient = 194.6
[Functional]: name = UKXYRJOBPL  year = 1946  popularity = 10.91 lazy calculation = True legacy = DYNAMIC, quotient = 194.6
[Functional]: name = TUDLABLGPT  year = 1946  popularity = 6.21 lazy calculation = False legacy = ERROR, quotient = 194.6
[Procedural]: name = WMBSCUUGDN  year = 1946  popularity = 59.76 abstract variables = False, quotient = 194.6
[Functional]: name = MEDCWOSNXX  year = 1946  popularity = 59.35 lazy calculation = False legacy = ERROR, quotient = 194.6
[Functional]: name = LALELHYCLK  year = 1946  popularity = 86.26 lazy calculation = False legacy = DYNAMIC, quotient = 194.6
[Functional]: name = ZYFSIHBNLR  year = 1946  popularity = 36.81 lazy calculation = True legacy = DYNAMIC, quotient = 194.6
[Procedural]: name = KDDPLDCWOZ  year = 1946  popularity = 84.33 abstract variables = False, quotient = 194.6
[Procedural]: name = CDMSEHDXES  year = 1946  popularity = 22.86 abstract variables = False, quotient = 194.6
