Container is store 1000 languages:
[Procedural]: name = vtYqBUcxF8  year = 1951  popularity = 25.58 abstract variables = True, quotient = 195.1
[ObjectOriented]: name = Qim3tqt2a8  year = 1981  popularity = 26.61 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 198.1
[Procedural]: name = aU2ooe6dgq  year = 1986  popularity = 34.92 abstract variables = True, quotient = 198.6
[ObjectOriented]: name = 79blmMNYZG  year = 1967  popularity = 72.18 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 196.7
[ObjectOriented]: name = Sl6L4tlhfA  year = 1983  popularity = 39.82 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 198.3
[ObjectOriented]: name = Z2MEckFoNT  year = 1994  popularity = 47.51 abstract variables = True legacy = Legacy.SINGLE, quotient = 199.4
[Procedural]: name = vZSRFnbGnW  year = 1962  popularity = 51.78 abstract variables = True, quotient = 196.2
[ObjectOriented]: name = A19mlJc7p4  year = 1996  popularity = 28.19 abstract variables = True legacy = Legacy.SINGLE, quotient = 199.6
[ObjectOriented]: name = YMFbnLGK9L  year = 1980  popularity = 64.22 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 198.0
[Functional]: name = XGWiR764SC  year = 1972  popularity = 72.09 lazy calculation = False legacy = DYNAMIC, quotient = 197.2
[Functional]: name = DQ7Sj4URa8  year = 2004  popularity = 11.84 lazy calculation = False legacy = DYNAMIC, quotient = 200.4
[ObjectOriented]: name = 8RXbv3IdFK  year = 1966  popularity = 78.86 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 196.6
[Functional]: name = YEpemDcuBC  year = 1988  popularity = 92.42 lazy calculation = True legacy = STRICT, quotient = 198.8
[Procedural]: name = T3DUF1DWGD  year = 1970  popularity = 82.33 abstract variables = False, quotient = 197.0
[ObjectOriented]: name = gur2Rbsxe7  year = 1967  popularity = 76.0 abstract variables = False legacy = Legacy.SINGLE, quotient = 196.7
[Procedural]: name = EYMvVFOn73  year = 1963  popularity = 48.7 abstract variables = True, quotient = 196.3
[Procedural]: name = X6qqM7xiuK  year = 1970  popularity = 61.99 abstract variables = False, quotient = 197.0
[Procedural]: name = DTCN4RGnJV  year = 1948  popularity = 17.3 abstract variables = True, quotient = 194.8
[ObjectOriented]: name = 9YaRL8Edhw  year = 1985  popularity = 40.95 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 198.5
[ObjectOriented]: name = EgUUtTVIJk  year = 1993  popularity = 58.29 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 199.3
[Procedural]: name = EhCVxvpSDs  year = 1978  popularity = 26.43 abstract variables = False, quotient = 197.8
[Functional]: name = eM2eiOSq2k  year = 1988  popularity = 47.57 lazy calculation = True legacy = STRICT, quotient = 198.8
[ObjectOriented]: name = L8uTCJDOfs  year = 2017  popularity = 47.16 abstract variables = False legacy = Legacy.SINGLE, quotient = 201.7
[Functional]: name = Ak3xPkbqLc  year = 1950  popularity = 32.39 lazy calculation = True legacy = DYNAMIC, quotient = 195.0
[Procedural]: name = kqrWPnmJAo  year = 1947  popularity = 41.15 abstract variables = False, quotient = 194.7
[Functional]: name = 8RK3ZqUhJq  year = 2009  popularity = 71.63 lazy calculation = False legacy = STRICT, quotient = 200.9
[Functional]: name = 5CVZ9JvGw3  year = 1945  popularity = 31.46 lazy calculation = False legacy = STRICT, quotient = 194.5
[Procedural]: name = Fj1AA7BJLg  year = 1955  popularity = 26.01 abstract variables = True, quotient = 195.5
[Functional]: name = uLsaYHWodO  year = 2001  popularity = 25.64 lazy calculation = False legacy = DYNAMIC, quotient = 200.1
[Procedural]: name = iKCjHgodYM  year = 1960  popularity = 35.51 abstract variables = True, quotient = 196.0
[Procedural]: name = e4uKjCH6ad  year = 1999  popularity = 46.8 abstract variables = True, quotient = 199.9
[Procedural]: name = RKv8Zvhiow  year = 1987  popularity = 73.12 abstract variables = True, quotient = 198.7
[Procedural]: name = f5Bspl3kIs  year = 1966  popularity = 98.19 abstract variables = True, quotient = 196.6
[ObjectOriented]: name = TlkEHnltww  year = 1994  popularity = 60.45 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 199.4
[ObjectOriented]: name = KR8BFGmLhe  year = 1968  popularity = 88.85 abstract variables = False legacy = Legacy.SINGLE, quotient = 196.8
[ObjectOriented]: name = p1EERQAiVD  year = 1999  popularity = 61.03 abstract variables = True legacy = Legacy.SINGLE, quotient = 199.9
[Procedural]: name = gC1XasgkxG  year = 1956  popularity = 66.14 abstract variables = False, quotient = 195.6
[Procedural]: name = c1GLTOPQie  year = 1980  popularity = 91.61 abstract variables = True, quotient = 198.0
[ObjectOriented]: name = uI5XJSOJAC  year = 1946  popularity = 70.76 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = J9c2nvNgd6  year = 2008  popularity = 74.13 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 200.8
[ObjectOriented]: name = rAR5Ec4SEA  year = 1971  popularity = 61.45 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 197.1
[ObjectOriented]: name = eBvCakJGkT  year = 1978  popularity = 97.92 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 197.8
[Functional]: name = Sw2qrYPubF  year = 2005  popularity = 78.31 lazy calculation = False legacy = DYNAMIC, quotient = 200.5
[Procedural]: name = ZCqM8qwBWs  year = 1984  popularity = 51.22 abstract variables = True, quotient = 198.4
[ObjectOriented]: name = 4cIhm3jBwt  year = 2014  popularity = 22.22 abstract variables = False legacy = Legacy.SINGLE, quotient = 201.4
[Procedural]: name = BSEuACAcWs  year = 1990  popularity = 70.59 abstract variables = True, quotient = 199.0
[ObjectOriented]: name = bxHmsuoFYU  year = 2009  popularity = 42.04 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 200.9
[ObjectOriented]: name = 75t98QVDvC  year = 2016  popularity = 41.38 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 201.6
[ObjectOriented]: name = mhLk3RSXmi  year = 1967  popularity = 1.9 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 196.7
[Functional]: name = cPukjwCivm  year = 1997  popularity = 81.67 lazy calculation = True legacy = DYNAMIC, quotient = 199.7
[Procedural]: name = h2sQ6SkCnZ  year = 2002  popularity = 85.15 abstract variables = True, quotient = 200.2
[ObjectOriented]: name = KcCFu8Fm2G  year = 1985  popularity = 19.6 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 198.5
[Functional]: name = mdiAtQjjuV  year = 1960  popularity = 28.15 lazy calculation = True legacy = STRICT, quotient = 196.0
[ObjectOriented]: name = CrhVh7MLKm  year = 1989  popularity = 36.38 abstract variables = True legacy = Legacy.SINGLE, quotient = 198.9
[Procedural]: name = bjBU1FiEKd  year = 2015  popularity = 63.43 abstract variables = False, quotient = 201.5
[Functional]: name = ZloDKJRkmq  year = 2020  popularity = 37.45 lazy calculation = False legacy = DYNAMIC, quotient = 202.0
[Functional]: name = TfVa5J7SNX  year = 1986  popularity = 54.91 lazy calculation = False legacy = STRICT, quotient = 198.6
[Functional]: name = P8eiOMjfSA  year = 1958  popularity = 5.81 lazy calculation = True legacy = STRICT, quotient = 195.8
[ObjectOriented]: name = QLZLPa2bsm  year = 2017  popularity = 79.68 abstract variables = True legacy = Legacy.SINGLE, quotient = 201.7
[Procedural]: name = djFVutxSTh  year = 1970  popularity = 91.89 abstract variables = False, quotient = 197.0
[Functional]: name = OL1L2Q3AEa  year = 1980  popularity = 60.08 lazy calculation = False legacy = DYNAMIC, quotient = 198.0
[Functional]: name = ToJTXC35X8  year = 2016  popularity = 60.78 lazy calculation = True legacy = STRICT, quotient = 201.6
[ObjectOriented]: name = HgAXLusSOU  year = 1968  popularity = 79.0 abstract variables = True legacy = Legacy.SINGLE, quotient = 196.8
[Functional]: name = pNjvZZ18VB  year = 1945  popularity = 97.15 lazy calculation = False legacy = STRICT, quotient = 194.5
[Functional]: name = KfrjbLIsEE  year = 1956  popularity = 70.29 lazy calculation = False legacy = DYNAMIC, quotient = 195.6
[ObjectOriented]: name = UPUkV4k9HL  year = 2020  popularity = 20.82 abstract variables = False legacy = Legacy.SINGLE, quotient = 202.0
[Procedural]: name = kCntR4akIL  year = 1965  popularity = 64.09 abstract variables = True, quotient = 196.5
[ObjectOriented]: name = IuPonVGmpA  year = 1998  popularity = 15.56 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 199.8
[Functional]: name = uskTodEOA6  year = 1986  popularity = 84.53 lazy calculation = True legacy = DYNAMIC, quotient = 198.6
[Functional]: name = FfBeq9A7BM  year = 2019  popularity = 93.79 lazy calculation = True legacy = STRICT, quotient = 201.9
[ObjectOriented]: name = iDrwETCrJB  year = 1952  popularity = 16.49 abstract variables = False legacy = Legacy.SINGLE, quotient = 195.2
[Functional]: name = NrWBRbKUlt  year = 1984  popularity = 55.79 lazy calculation = False legacy = DYNAMIC, quotient = 198.4
[Procedural]: name = fpNV7VrhjB  year = 2018  popularity = 87.99 abstract variables = True, quotient = 201.8
[Functional]: name = 9iLWneWTZf  year = 1999  popularity = 41.8 lazy calculation = True legacy = STRICT, quotient = 199.9
[ObjectOriented]: name = 5sSYeJeeEu  year = 1986  popularity = 62.76 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 198.6
[Procedural]: name = b8pMl2JILO  year = 1978  popularity = 7.71 abstract variables = True, quotient = 197.8
[Procedural]: name = 9mVG1FSHjO  year = 1987  popularity = 13.53 abstract variables = True, quotient = 198.7
[ObjectOriented]: name = ox4jHLEacP  year = 1968  popularity = 36.24 abstract variables = True legacy = Legacy.SINGLE, quotient = 196.8
[ObjectOriented]: name = 2bHgPqMMwn  year = 1977  popularity = 74.76 abstract variables = True legacy = Legacy.SINGLE, quotient = 197.7
[ObjectOriented]: name = orGkvbfUxv  year = 1958  popularity = 8.9 abstract variables = True legacy = Legacy.SINGLE, quotient = 195.8
[ObjectOriented]: name = XbpDZIORxJ  year = 2019  popularity = 97.7 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 201.9
[Functional]: name = fAG2xcRc9f  year = 1972  popularity = 22.06 lazy calculation = False legacy = DYNAMIC, quotient = 197.2
[Functional]: name = 9pSeVM1ovs  year = 1991  popularity = 3.89 lazy calculation = True legacy = DYNAMIC, quotient = 199.1
[ObjectOriented]: name = i76oeSw5Xt  year = 1946  popularity = 59.04 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = v4AonIpAdu  year = 2015  popularity = 16.34 abstract variables = True legacy = Legacy.SINGLE, quotient = 201.5
[Procedural]: name = Gc5EDkYDTc  year = 1973  popularity = 37.54 abstract variables = False, quotient = 197.3
[Functional]: name = EI1YpnYFin  year = 1976  popularity = 12.48 lazy calculation = True legacy = DYNAMIC, quotient = 197.6
[Procedural]: name = RuwIxBBAnM  year = 1984  popularity = 85.13 abstract variables = False, quotient = 198.4
[Functional]: name = ioUGsXPOId  year = 1974  popularity = 55.47 lazy calculation = True legacy = STRICT, quotient = 197.4
[Functional]: name = dVblSlcsuC  year = 1956  popularity = 53.24 lazy calculation = True legacy = STRICT, quotient = 195.6
[Procedural]: name = ggQ1p6pUDZ  year = 1998  popularity = 5.7 abstract variables = True, quotient = 199.8
[Functional]: name = WnQBRo1Xo9  year = 1948  popularity = 88.4 lazy calculation = False legacy = DYNAMIC, quotient = 194.8
[ObjectOriented]: name = p8ZwwNU8TB  year = 1985  popularity = 80.71 abstract variables = True legacy = Legacy.SINGLE, quotient = 198.5
[Procedural]: name = ZeSDOY37bX  year = 2011  popularity = 71.13 abstract variables = True, quotient = 201.1
[ObjectOriented]: name = XUSofFxH6J  year = 2020  popularity = 26.87 abstract variables = True legacy = Legacy.SINGLE, quotient = 202.0
[Functional]: name = xsSHGvxBs4  year = 2017  popularity = 70.04 lazy calculation = False legacy = DYNAMIC, quotient = 201.7
[Procedural]: name = fN3xI52wJB  year = 1983  popularity = 68.97 abstract variables = True, quotient = 198.3
[Functional]: name = BsgftqtRNE  year = 2017  popularity = 89.76 lazy calculation = True legacy = STRICT, quotient = 201.7
[Procedural]: name = sjX4UPuaMp  year = 1961  popularity = 19.65 abstract variables = True, quotient = 196.1
[ObjectOriented]: name = g9Dd2BHwF2  year = 2015  popularity = 71.41 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 201.5
[Functional]: name = jDX4KGCBrc  year = 2019  popularity = 23.79 lazy calculation = False legacy = STRICT, quotient = 201.9
[ObjectOriented]: name = LWO4dgtsrB  year = 1946  popularity = 43.0 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.6
[Functional]: name = qNjZRWAs4g  year = 1963  popularity = 79.71 lazy calculation = True legacy = STRICT, quotient = 196.3
[ObjectOriented]: name = E1Vqk3ndqQ  year = 2005  popularity = 50.67 abstract variables = True legacy = Legacy.SINGLE, quotient = 200.5
[Procedural]: name = Aj6IaAdL4A  year = 1996  popularity = 39.31 abstract variables = False, quotient = 199.6
[Procedural]: name = E1p9AaIiNR  year = 2011  popularity = 86.48 abstract variables = False, quotient = 201.1
[Procedural]: name = 6sfOnoYNTi  year = 1972  popularity = 81.89 abstract variables = False, quotient = 197.2
[ObjectOriented]: name = 1wY8MYntsO  year = 2007  popularity = 32.85 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 200.7
[ObjectOriented]: name = 2WItAY2XXG  year = 1994  popularity = 95.72 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 199.4
[Functional]: name = mYoxZYE2er  year = 1988  popularity = 85.92 lazy calculation = True legacy = DYNAMIC, quotient = 198.8
[ObjectOriented]: name = JKjRPgw1LM  year = 1970  popularity = 7.07 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 197.0
[Functional]: name = Wmc5W8OkmZ  year = 1978  popularity = 55.83 lazy calculation = True legacy = STRICT, quotient = 197.8
[ObjectOriented]: name = RX4OEN83HP  year = 1994  popularity = 73.16 abstract variables = True legacy = Legacy.SINGLE, quotient = 199.4
[Procedural]: name = m1SotJ6qMb  year = 2018  popularity = 98.55 abstract variables = True, quotient = 201.8
[Procedural]: name = X3U79Xx7sc  year = 1981  popularity = 82.6 abstract variables = True, quotient = 198.1
[ObjectOriented]: name = NwgXu7rCqS  year = 1995  popularity = 49.39 abstract variables = False legacy = Legacy.SINGLE, quotient = 199.5
[ObjectOriented]: name = CPE7qKnsV8  year = 1990  popularity = 34.15 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 199.0
[Procedural]: name = hbKn2PmMLi  year = 1964  popularity = 94.73 abstract variables = False, quotient = 196.4
[ObjectOriented]: name = AB2W36QOY3  year = 2017  popularity = 96.31 abstract variables = False legacy = Legacy.SINGLE, quotient = 201.7
[Functional]: name = xYYekaAQWB  year = 1983  popularity = 3.06 lazy calculation = False legacy = STRICT, quotient = 198.3
[Procedural]: name = ibZQHRipwT  year = 1965  popularity = 61.38 abstract variables = False, quotient = 196.5
[Procedural]: name = GUg71hJBvX  year = 2006  popularity = 69.6 abstract variables = True, quotient = 200.6
[Procedural]: name = YChjFT1WCY  year = 1958  popularity = 98.28 abstract variables = True, quotient = 195.8
[Procedural]: name = 9HJATKGQq6  year = 1996  popularity = 49.03 abstract variables = True, quotient = 199.6
[Procedural]: name = GYUkkFcH91  year = 1960  popularity = 90.81 abstract variables = False, quotient = 196.0
[ObjectOriented]: name = j8C7IpeDtp  year = 1998  popularity = 88.23 abstract variables = True legacy = Legacy.SINGLE, quotient = 199.8
[Functional]: name = IcQH5GeYxT  year = 1968  popularity = 94.87 lazy calculation = True legacy = DYNAMIC, quotient = 196.8
[Procedural]: name = kdddgCB3qn  year = 1961  popularity = 92.99 abstract variables = False, quotient = 196.1
[ObjectOriented]: name = ojrq6u96OW  year = 1974  popularity = 24.76 abstract variables = False legacy = Legacy.SINGLE, quotient = 197.4
[Procedural]: name = Tx8GTYbc7X  year = 2017  popularity = 16.51 abstract variables = False, quotient = 201.7
[Functional]: name = VfbFfDgZ7e  year = 2008  popularity = 64.56 lazy calculation = True legacy = STRICT, quotient = 200.8
[ObjectOriented]: name = hAvcxC7MOM  year = 1969  popularity = 53.91 abstract variables = False legacy = Legacy.SINGLE, quotient = 196.9
[Procedural]: name = xU35JbA78E  year = 2008  popularity = 4.42 abstract variables = True, quotient = 200.8
[Procedural]: name = SJBVQ3okZQ  year = 2010  popularity = 12.97 abstract variables = True, quotient = 201.0
[Functional]: name = 7wChoAFhEd  year = 1974  popularity = 96.73 lazy calculation = False legacy = DYNAMIC, quotient = 197.4
[ObjectOriented]: name = AQsm5g724m  year = 1976  popularity = 27.18 abstract variables = False legacy = Legacy.SINGLE, quotient = 197.6
[Procedural]: name = gX6Tg5nnCN  year = 1985  popularity = 33.67 abstract variables = True, quotient = 198.5
[Functional]: name = Y75GoQYefL  year = 1960  popularity = 9.4 lazy calculation = False legacy = STRICT, quotient = 196.0
[Functional]: name = 2lW1bMtB4m  year = 2011  popularity = 23.01 lazy calculation = True legacy = DYNAMIC, quotient = 201.1
[ObjectOriented]: name = M5m5aifA1l  year = 1945  popularity = 88.31 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.5
[Procedural]: name = X3aWpSxEBf  year = 1997  popularity = 21.05 abstract variables = False, quotient = 199.7
[ObjectOriented]: name = xBP4ff6bs4  year = 1968  popularity = 86.82 abstract variables = False legacy = Legacy.SINGLE, quotient = 196.8
[ObjectOriented]: name = UelkCuv63K  year = 1950  popularity = 89.53 abstract variables = True legacy = Legacy.SINGLE, quotient = 195.0
[Functional]: name = JqHqhWUK3S  year = 1964  popularity = 12.11 lazy calculation = False legacy = DYNAMIC, quotient = 196.4
[ObjectOriented]: name = reGifCSeHU  year = 1993  popularity = 67.98 abstract variables = False legacy = Legacy.SINGLE, quotient = 199.3
